Id,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA01/2020/0269/F,02-Mar-2020,,04-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Erection of dwelling including accommodation for carer - Proposed change of house type application from previous planning Ref: B/2010/0424/F.,171 Roe Mill Road Limavady - Site in Rear Garden of 171 Roemill Road (Site 171A),"267,193","421,519",Pending, ,,,,,,1,12 months and over
LA04/2020/0559/F,02-Mar-2020,,13-May-2020,Belfast,N13000004,Belfast LPA,BELFAST SOUTH,Full,Local,Residential,Urban,Urban extensions and alterations, ,"Renovation and single storey rear extension to dwelling, construction of a new detached garage and new entrance gates and pillars, alterations to existing driveway and extension and upgrade of existing parking area (amended description to include extended driveway and new hardstanding area).",24 Malone Park  Belfast  BT9 6NJ,"331,999","370,821",Pending, ,,,,,,1,12 months and over
LA04/2020/0562/DCA,02-Mar-2020,,02-Mar-2020,Belfast,N13000004,Belfast LPA,BELFAST SOUTH,Other consents,Local,Other,Urban, , ,"Demolition of rear extension (partly single storey, partly one and a half storey) and existing shed and summerhouse",24 Malone Park  Belfast  BT9 6NJ,"331,999","370,820",Pending, ,,,,,,1,12 months and over
LA04/2020/0675/F,02-Mar-2020,,19-Mar-2020,Belfast,N13000004,Belfast LPA,BELFAST EAST,Full,Local,Mixed Use,Urban, , ,"erection of single storey extension to existing dwelling with single storey detached garage, along with a proposed 2 storey detached dwelling to the rear fronting onto Stormont Park.",29 Castlehill Road  Belfast  BT4 3GL,"339,340","374,231",Approved,Approved,07-May-2021,Q1,,,56.2,, 
LA01/2020/0259/O,03-Mar-2020,,03-Mar-2020,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,NORTH ANTRIM,Outline,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Proposed replacement dwelling under current planning policy PPS21 cty 3,25m SW of 48 Ballykenver Road  Armoy,"304,081","433,080",Approved,Approved,15-Feb-2022,Q4,,,97.2,, 
LA04/2020/0595/F,03-Mar-2020,,06-Mar-2020,Belfast,N13000004,Belfast LPA,BELFAST NORTH,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"Proposed installation of a wind turbine on a 60m high tabular tower and 100m high blade tip, switch room cabinet, sub-station cabinet, extension of an existing laneway to form site access and all other associated ancillary works.",510m north/north west if no.33 Upper Hightown Road  Ballysillan Upper  Belfast  BT14 8RR,"330,854","379,410",Pending, ,,,,,,1,12 months and over
LA05/2020/0204/F,03-Mar-2020,,03-Mar-2020,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,BELFAST EAST,Full,Local,Civic,Urban, , ,"The installation of a 20 metre Apollo streetpole with 6no. atennas (3no enclosed within a shroud) 2no. equipment cabinets, 1 no. meter cabinet and ancillary apparatus/works.",Kings Road SW  Kings Road  Adj. to Old Dundonald Road  Belfast  County Antrim BT16 1XT,"340,830","373,292",Withdrawn,Withdrawn,,,16-Sep-2021,Q2,76.4,, 
LA05/2020/0208/F,03-Mar-2020,,03-Mar-2020,Lisburn and Castlereagh,N13000008,Lisburn and Castlereagh LPA,BELFAST EAST,Full,Local,Residential,Urban,Urban housing developments, ,"Proposed erection of 6 no. detached dwellings, including demolishment of existing dwelling, associated road layout, car parking & landscaping.",6 Fort Road  Dundonald,"341,528","372,984",Pending, ,,,,,110.0,1,12 months and over
LA06/2020/0221/F,03-Mar-2020,,03-Mar-2020,Ards and North Down,N13000002,Ards and North Down LPA,NORTH DOWN,Full,Local,Residential,Urban,Urban housing developments, ,"23 No. dwellings, associated car parking and landscaping works - Amended site layout to previous planning approval LA06/2017/0877/RM (Amended plans and additional information)",Lands to the east and south east of St Galls Church  Crawfordsburn Road  Bangor  BT19 1BT,"347,750","381,488",Approved,Approved,03-Mar-2022,Q4,,,99.6,, 
LA09/2020/0331/O,03-Mar-2020,,06-Mar-2020,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed site for a dwelling and domestic garage based on policy CTY 8,Approx 15 meters North-East of No. 153 Sixtowns Road  Owenreagh  Draperstown,"274,156","391,357",Approved,Approved,16-Apr-2021,Q1,,,55.0,, 
