Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2011/0242/F,08/04/2011,,08/04/2011,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"To reinstate a hydroelectric, renewable energy system on the Faughan river using an existing weir, restored mill race and installation of a fish friendly archimedes screw turbine. Capicity 109 KW.",To rear of 73 Glenshane Road  Drumahoe.,"247,024","414,477",Withdrawn,Withdrawn,,,13/02/2017,Q4,291.2,, 
A/2011/0246/F,07/04/2011,,07/04/2011,Strategic Planning Division,FOYLE,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"Proposed redevelopment of hydro-electric scheme to include replacement weir and intake structure, mill race and penstock, new turbine house and water outfall structure",Lands at Ardmore mill complex  Bleach Green  Green Road  Ardmore,"247,427","413,608",Refused,Refused,07/10/2016,Q3,,,274,, 
A/2011/0516/F,06/09/2011,,06/09/2011,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"To develop a microhydro electricity generating renewable energy system (5kw) on the adjoining stream on the outskirts of Park, Claudy. Electricity generated will be exported to the grid.",Turbine house 50m north west of 10 Altinure Road  Park  Claudy. Intake structure 330m south south east of Turbine House.,"259,767","405,320",Pending, ,,,,,,1,12 months and over
A/2011/0636/F,18/11/2011,,18/11/2011,Derry and Strabane,EAST LONDONDERRY,Full,Local,Mixed Use,Rural: Countryside, , ,Retention of mobile sand and gravel screening and washing plant to process on-site materials and associated ponds and stockpiles,320m east of 339 Longland Road  Claudy  BT47 4AJ,"257,093","405,310",Pending, ,,,,,,1,12 months and over
A/2011/0638/F,18/11/2011,,18/11/2011,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, , ,Retention of amended access to existing sand and gravel extraction,150m north-east of 339 Longland Road  Claudy  BT47 4AJ,"256,772","405,428",Pending, ,,,,,,1,12 months and over
A/2011/0640/F,18/11/2011,,18/11/2011,Derry and Strabane,EAST LONDONDERRY,Full,Major,Industrial,Rural: Countryside, , ,                                                                                                                                                                                                                                                                                         Extraction of sand and gravel. (Retrospective Application),To the rear and 70m south of 341 Longland Road  Claudy  BT47 4AJ,"256,808","405,447",Pending, ,,,,,,1,12 months and over
A/2011/0684/F,09/12/2011,,09/12/2011,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, , ,Retrospective amendment to previously approved A/2006/0953/F. Alteration to approved site layout and boundary.,Berth number 2  Lisahally Quay  Port Road  Lisahally  Londonderry  Co Londonderry  BT47 6FL,"247,191","421,815",Pending, ,,,,,,1,12 months and over
A/2012/0005/F,29/12/2011,,29/12/2011,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,To develop a microhydro electricity generating renewable energy system (20kw) on a tributary stream joining Sluggada Burn. Electricity generated to be exported to the grid,Turbine house is 120m ssw of 59 Barnes Road  Claudy and intake structure is 650m sse of 59 Barnes Road  Claudy,"261,424","400,255",Withdrawn,Withdrawn,,,16/12/2016,Q3,248,, 
A/2012/0553/F,19/11/2012,,19/11/2012,Strategic Planning Division,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,Proposed installation of a fish pass to existing weir. Application associated with current planning application - A/2011/0219/F - Proposed Archimedes screw hydro electric turbine.,Lands Adjacent To 41 Lower Ballyartan Road Lettermuck Claudy LCondonderry  BT47 3SY,"253,018","406,494",Pending, ,,,,,,1,12 months and over
A/2013/0152/F,28/03/2013,,28/03/2013,Derry and Strabane,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Self catering accommodation (in lieu of planning approval A/2008/0209/RM)                                                                                                                                 Single storey unit of self catering accommodation in lieu of planning approval A/2008/0209/RM,Land Adjacent to Cregg Mills Cottage  Cregg Road  Claudy,"253,503","406,604",Refused,Refused,26/08/2016,Q2,,,170,, 
