Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2014/0567/F,21/11/2014,,21/11/2014,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"Erection of single wind turbine - 30m hub height with 14.55m blades, associated access and 2no. electricity cabinets.",Lands 140m North West of 12 Heather Road Derry,"239,756","416,042",Refused,Refused,25/04/2017,Q1,,,120.2,, 
A/2014/0592/F,01/12/2014,,01/12/2014,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,"Erection of 39 apartments (4 storey building) with associated parking, landscaping, site works and new access arrangements. (amended access proposal)",8-10 Victoria Road  Derry  BT472AB,"243,633","415,835",Pending, ,,,,,,1,12 months and over
A/2014/0629/F,18/12/2014,,18/12/2014,Derry and Strabane,FOYLE,Full,Major,Mixed Use,Urban, , ,"Medical Building (totalling 6,901 gross sq m) with car parking in a semi-basement, Superstore (totalling 5,574 gross sq.m) associated car parking, Restaurant, Self Service Filling Station, servicing and landscaping with access/egress via Pennyburn Pass and Pennyburn Industrial Estate Road. (Addendum to Transport Assessment received)",Arntz Belting Company Ltd site  Pennyburn Pass and former Eurocentre West site  Pennyburn Industrial Estate Road  Pennyburn Industrial Estate Londonderry.,"243,491","418,753",Approved,Approved,19/02/2018,Q4,,,157.4,, 
A/2014/0630/F,19/12/2014,,19/12/2014,Derry and Strabane,EAST LONDONDERRY,Full,Major,Civic,Rural: Countryside, ,Wind farm,"Construction of a windfarm comprising 8 no. wind turbines (tip height not exceeding 126 metres), an electrical substation and control building, a meteorological mast, formation of accesses on Ballyhanedin Road and Glenshane Road, internal access tracks, two temporary construction compounds, formation of passing bays on Ballyhanedin Road, junction improvements at Ballyhanedin Road/A6 junction and Glenshane Road/A6 junction, and all associated ancillary works. (Further Environmental Information received in relation to community fund, micro siting, roads details, slope stability, noise and visuals)",Lands 650 metres east of 57A Ballyhanedin Road  in the townland of Ballyhanedin  1.5 kilometres north west of Feeny,"261,109","406,915",Approved,Approved,28/04/2017,Q1,,,116.8,, 
A/2015/0049/F,26/01/2015,,02/02/2015,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Installation of a 225kw wind turbine with a hub height of 30m and a rotor diameter of 27m,Lands 108m north west of 18 Killea Road Londonderry,"238,402","415,558",Pending, ,,,,,,1,12 months and over
A/2015/0071/O,30/01/2015,,30/01/2015,Derry and Strabane,FOYLE,Outline,Major,Mixed Use,Rural: Countryside, , ,Redevelopment of former school site to provide a Retirement Village (65 bed care home and 68 semi independent living units) Amended plans and reports,Former Thornhill College site at 123 Culmore Road  Derry (adjacent to St Catherines Convent 121 Culmore Road) BT48 8JF,"246,156","421,206",Pending, ,,,,,,1,12 months and over
A/2015/0171/F,23/03/2015,,23/03/2015,Derry and Strabane,FOYLE,Full,Local,Change of Use,Rural: Countryside, , ,Retention of existing allotments along with associated storage sheds (with proposed access and parking),Lands at Carrakeel Drive  Maydown Industrial Estate  Maydown,"248,044","420,212",Withdrawn,Withdrawn,,,06/02/2018,Q4,143.2,, 
A/2015/0182/F,25/03/2015,,25/03/2015,Derry and Strabane,FOYLE,Full,Major,Mixed Use,Urban, , ,Community centre & 79 No residential units comprising of 60 No Houses; 19 No apartments & 1 No Communal Unit; Access Road & Associated site works.,Lands between 1-39 also 68-84 Glen Road and Templemore Park/Grafton Street 43 and 54 Lower Nassau Street  Londonderry,"242,760","417,960",Pending, ,,,,,,1,12 months and over
B/2008/0405/F,30/10/2008,,30/10/2008,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Industrial,Rural: Countryside, , ,"Proposed extraction of Sand and Gravel, adjacent to existing approved site, including Washing Plant, Mobile Sand Screener, Water Flocculation Plant, Clean Water Pond and Silt Pond.","Land 180m S.E. of 92 Clooney Road, Limavady","264,756","422,335",Pending, ,,,,,,1,12 months and over
B/2011/0115/F,08/04/2011,,08/04/2011,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Mixed Use,Rural: Settlement, , ,"Mixed use site - consisting of retail units, offices and 20 no. dwellings with associated road works, drainage and landscaping",Site at junction of Main Street and Ballyquin Road consisting of 40  42  44A  44B  50-56 Main Street and 430 Ballyquin Road  Dungiven.,"268,848","409,568",Pending, ,,,,,,1,12 months and over
B/2012/0046/F,05/03/2012,,05/03/2012,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,To develop a Microhydro electricity generating renewable system (18kW) on the Wood Burn on the outskirts of Limavady. Electricity generated to be exported to the grid.,Turbine House 400m NW of 195 Drumsurn Road Limavady Co. L'Derry and Intake 100m SE of 195 Drumsurn Road Limavady Co. L'Derry,"271,098","419,066",Pending, ,,,,,,1,12 months and over
B/2012/0157/F,08/06/2012,,08/06/2012,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"To develop a microhydro electricity generating renewable energy system (56.4kW).  Refurbishment of the original mill race and mill pond, construction of intake weir on the Castle river and a turbine house.",Turbine house 140m NW of 119 Drumsurn Road Limavady. Intake structure 200m east of 59 Ballyavelin Road Limavady,"270,354","421,010",Withdrawn,Withdrawn,,,05/03/2018,Q4,286,, 
B/2012/0182/F,25/06/2012,,25/06/2012,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,To develop a microhydro electricity generating renewable energy system (20kW) on the Castle River on the outskirts of Limavady. Electricity generated to be exported to the grid.,Turbine house is 120m Due South of 167 Drumsurn Road  Limavady  BT49 0PE Intake structure is 600m Due South of 167 Drumsurn Road  Limavady  BT49 0PE,"270,952","419,732",Pending, ,,,,,,1,12 months and over
B/2012/0218/F,26/07/2012,,26/07/2012,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Mixed Use,Rural: Countryside, , ,"Tourist retreat facilities to include Open farm with ARK theme building to house animals, cafe, kids play area and meditation rooms.   Erection of 3no, 3 bed  accommodation units.",300m South East Of 76 Altagarron Road  Dungiven.,"260,661","408,106",Pending, ,,,,,,1,12 months and over
B/2013/0030/F,06/02/2013,,06/02/2013,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Commercial,Urban, , ,"Alterations of existing building and two storey rear extension to accomodate enclosed stairwell, WC's and external smoking area.",48 Main Street  Limavady.,"267,077","423,315",Pending, ,,,,,,1,12 months and over
B/2013/0190/RM,06/09/2013,,06/09/2013,Causeway Coast and Glens,EAST LONDONDERRY,Reserved Matters,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,Proposed 2 no one and half storey dwellings with detached garages incorporating alterations to roadway & footpath on Bolea Park (Drainage Assessment Recevied 21st April 2015),Site adjacent to 7 Bolea Park  Limavady,"271,392","425,738",Pending, ,,,,,,1,12 months and over
B/2013/0204/F,25/09/2013,,25/09/2013,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Change of Use,Rural: Countryside, , ,Retrospective application for farm diversification for change of use of former military squash courts/store to renewable energy commercial workshop B1 use and alteration to existing boundary fence.,62 Windyhill Road  Limavady (to rear of no. 76 Windyhill Road  Limavady),"269,619","426,086",Refused,Refused,18/08/2017,Q2,,,194.2,, 
B/2013/0205/A,25/09/2013,,25/09/2013,Causeway Coast and Glens,EAST LONDONDERRY,Consent to Display,Local,Other,Rural: Countryside, , ,Flat Sign Fixed to Wall,Adjacent to 60 Windyhill  Road  Artikelly Limavady,"269,600","426,006",Refused,Refused,18/08/2017,Q2,,,194.2,, 
B/2013/0241/F,31/10/2013,,31/10/2013,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Civic,Rural: Countryside, ,Wind farm,"Proposed extension to the approved Dunmore Windfarm (Ref: B/2007/0563/F) comprising 8 turbines, up to a maximum of 126m tip height (up to 85m hub height and up to 93m blade diameter), associated transformers, 2 permanent anemometer masts, communication tower, extension of existing site access tracks and construction of new site access tracks, temporary amendments to the junction of the Bolea Road and Windyhill Road, gates, substation and site control room, electrical cabling, a temporary site compound, two site entrances, minor road improvement works on Bolea Road and all other associated and ancillary works",land approx. 640m east of Largantea Bridge (Windyhill Road/Bolea Road)  Dunmore  Limavady  Co Londonderry,"274,682","428,302",Refused,Refused,28/04/2017,Q1,,,173.8,, 
B/2013/0247/F,08/11/2013,,08/11/2013,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Erection of split level dwelling and single storey garage under PPS 21 CTY 10 Dwellings on Farms landscaped and with associated site works,Lands approximately 110 metres northwest of no 20 New Line Road  Magheramore Limavady,"263,768","417,770",Withdrawn,Withdrawn,,,24/05/2017,Q1,176,, 
B/2014/0047/F,07/03/2014,,07/03/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Mixed Use,Rural: Countryside, , ,"Retrospective application for internal sub-division of 2 existing dwellings to form self catering tourist unit in each dwelling at 76E and F and 76C and D Duncrun Road, Bellarena, Limavady",Between 76 and 76A Duncrun Road  Bellarena  Limavady  BT49 0JD,"268,276","432,100",Pending, ,,,,,,1,12 months and over
B/2014/0155/F,09/07/2014,,09/07/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Hydroelectricity,"Develop a hydroelectric renewable energy system (20kw) inc repair existing weir, addition of fish pass, retention of existing mill race, repair/improvement of intake chamber and construction of new turbine house",Lands 90m SSE of 21 Derrychrier Road  Dungiven,"266,221","408,046",Pending, ,,,,,,1,12 months and over
B/2014/0181/O,05/08/2014,,05/08/2014,Causeway Coast and Glens,EAST LONDONDERRY,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed site for two-storey dwelling within existing cluster under Policy CTY2a of Planning Policy Statement 21.,Site located 38m east of No. 161 Seacoast Road  Crindle  Limavady  Co Londonderry  BT49.,"266,249","427,490",Pending, ,,,,,,1,12 months and over
B/2014/0185/F,28/07/2014,,28/07/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, , ,"Bird-watching observatory and education centre incorporating exhibition area, conference room, viewing areas and kitchenette with septic tank and reed bed system",Lands adjacent to Carrowclare Road  Carrowmuddle  Myroe  Limavady,"264,620","428,986",Pending, ,,,,,,1,12 months and over
B/2015/0005/F,30/12/2014,,30/12/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Agricultural,Rural: Countryside, , ,"Proposed development of 4 no. pig breeding units (in addition to the single unit previously approved under B/2013/0043/F) to house an overall site total of 2247 sows, 12 no. feed bins and 2 no. above ground sealed slurry stores and bleed off water storage tank and proposed air scrubber on previously approved unit.",Land off Moys Road Approx 170m south west of 171 Glenhead Road Limavady,"265,613","418,367",Pending, ,,,,,,1,12 months and over
C/2011/0158/F,05/04/2011,,05/04/2011,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Civic,Rural: Countryside, ,Wind farm,"Erection of 5 no wind turbines with maximum bladetip height of 99.5 meters (as reduced from 120.5 meters), with ancillary developments including turbine transformers, turbine hardstands, widening and strengthening of existing tracks and construction of new access tracks and junctions (now amended), communications antennae, an electrical control building (with underground electrical cables and communications lines connecting wind turbines to the electrical control building), an 80m permanent meteorological mast and relocated temporary contractor's compound, and on site drainage works; and all ancillary development and associated works, including micro-siting at T4, within Croaghan townland, Macosquin, Coleraine, Co Londonderry",Croaghan TD  Macosquin  Coleraine  Co Londonderry,"279,020","426,195",Pending, ,,,,,,1,12 months and over
C/2013/0097/F,22/03/2013,,22/03/2013,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Residential,Rural: Countryside,Rural other (countryside), ,"Demolition of Existing Sheds. Proposed Caravan Park including Sites for 51 no. Touring Caravans, 49 no. Static Caravans, 18 no. Camping Cabins, Manager's and Amenity Caravans, Access Roads and Landscaping. Improvement of Ballymacrea Road (including new public footpath) to improve site access and carriageway improvements at No's 39, 90m west of 59d, 59c /59g and 67 Ballymacrea Road, and at the Ballymacrea/Ballybogey Roads Junction.",Portrush Blockyard  Craigahulliar Quarry  45 Craigahulliar Road  Portrush  Co. Antrim  BT56 8NN.,"287,998","439,183",Approved,Approved,28/09/2017,Q2,,,225,, 
C/2013/0497/F,13/12/2013,,13/12/2013,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Urban,Urban housing developments, ,Design Amendments from Previous Application C/2006/0682/F for Residential Development comprising of 24 Apartments and Associated Basement Parking. (Additional documentation - ASSI Clarification),Nos. 2 4 and 6 Bath Road  Portrush  Co. Antrim  BT56 8AP.,"285,766","440,968",Approved,Approved,25/01/2018,Q4,,,204.6,, 
C/2014/0012/F,15/01/2014,,15/01/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Major,Commercial,Urban, , ,Proposed extension to mixed use retail park to comprise the construction of 1 no retail unit and the relocation of an approved retail unit (Ref: C/2010/0536/F) along with 2 no restaurant units and general site works,Land to the north west of unit 17 Riverside Regional Centre Castleroe Road Coleraine,"284,689","431,119",Withdrawn,Withdrawn,,,28/02/2018,Q4,205.4,, 
C/2014/0051/F,24/02/2014,,24/02/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,Proposed 2 No. semi-detached dwellings,Site Adjacent to No 5 Circular Road  Castlerock  BT51 4XA,"277,439","435,964",Approved,Approved,30/06/2017,Q1,,,166.6,, 
C/2014/0171/F,24/04/2014,,24/04/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Urban,Urban housing developments, ,"Proposed Alterations to Approved Site Layout and Private Streets Determination - C/2007/0522/F and C/2011/0539/F, incorporating Change of House Types for 13 no Dwellings",93 and 95 Strand Road  Coleraine - Site No's 29  34  35  36  37  38  39  44  45  46  47  48 and 49,"284,376","431,579",Withdrawn,Withdrawn,,,03/04/2017,Q1,146.6,, 
C/2014/0306/F,04/08/2014,,04/08/2014,Causeway Coast and Glens,EAST LONDONDERRY,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Erection of one detached two-storey dwelling, with single-storey garage and associated siteworks. (Amended scheme).","16 Moneybrannon Road And Land To The Rear Of 18 And 20 Moneybrannon Road Clarehill, Aghadowey Coleraine BT51 4AJ.","287,745","421,948",Approved,Approved,23/03/2018,Q4,,,181.4,, 
