Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA08/2018/1022/F,09/07/2018,Q2,17/07/2018,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Mixed Use,Rural: Settlement, , ,"Proposed 3No. commercial units with 3no. first floor apartments for residential use, associated parking and ancillary works. (amended plans)",Lands to the rear of no. 7-17 Main Street  Hamiltonsbawn  Co.Armagh,"294,789","344,645",Pending, ,,,,,,1,6 - 12 months
LA08/2018/1027/F,09/07/2018,Q2,09/07/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Residential,Urban,Urban housing developments, ,"Proposed housing - erection of 48no. dwellings and garages, comprising of 18no. detached and 30no. semi-detached with associated site works and landscaping.",Lands adjacent to and south west of 20 Rowan Park  Tullygally  Craigavon  BT65 5AY,"305,648","357,025",Pending, ,,,,,41.2,1,6 - 12 months
LA08/2018/1035/F,09/07/2018,Q2,20/07/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Full,Local,Civic,Urban, , , Proposed Doctors Surgery and associated car parking on lands to rear of 16 and 18 High Street Lurgan with alterations to 9 Windsor Avenue (Renewal of planning permission ref: N/2012/0033/F).,9 Windsor Avenue  Lurgan and to the rear of 16 and 18 High Street  Lurgan.,"308,377","358,330",Approved,Approved,09/10/2018,Q3,,,11.2,, 
LA08/2018/1036/O,09/07/2018,Q2,09/07/2018,"Armagh, Banbridge and Craigavon",UPPER BANN,Outline,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Proposed site for replacement dwelling with new access onto Cherryville Road.,60m north of 180 Dungannon Road  Portadown.,"295,200","359,656",Refused,Refused,23/01/2019,Q4,,,27.0,, 
LA08/2018/1064/F,09/07/2018,Q2,09/07/2018,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Other,Urban, , ,Single storey rear extension to dwelling.,5 Callan Bridge Park  Armagh  Bt60 4BU,"286,330","345,602",Approved,Approved,28/09/2018,Q2,,,11.2,, 
LA08/2018/1067/F,09/07/2018,Q2,09/07/2018,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Local,Other,Rural: Settlement, , ,"This a section 54 application seeking to remove condition 2 of planning permission approval no. LA08/2016/0068/F which reads ""Hours of operation shall be restricted to 08.00 to 18.00 hours Monday to Friday, 08.00 to 13.00 hours Saturday and no operations on Sundays or Bank holidays.""",40 Corrigan Hill Road  Moy  Dungannon  BT71 6SL,"286,215","354,484",Pending, ,,,,,,1,6 - 12 months
LA09/2018/0953/F,09/07/2018,Q2,09/07/2018,Mid Ulster,MID ULSTER,Full,Local,Agricultural,Rural: Countryside, , ,"Retention of 1 No. Biomass Boiler Shed, covered area and Fuel Bin.",Land approx. 150M NW of Ballybray House  42 Garvagh Road  Dungannon  BT70 3LS.,"277,595","366,174",Approved,Approved,12/09/2018,Q2,,,8.8,, 
LA09/2018/0954/F,09/07/2018,Q2,09/07/2018,Mid Ulster,MID ULSTER,Full,Local,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Housing development consisting of 24 dwellings (8 detached and 16 semi-detached, 8 house types)and associated site works.",Land adjacent to 11 Bawnmore  Mullaghboy Road  Bellaghy  Magherafelt  BT45 8LX.,"295,033","397,025",Pending, ,,,,,,1,6 - 12 months
LA09/2018/0957/RM,09/07/2018,Q2,09/07/2018,Mid Ulster,MID ULSTER,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Gap site for proposed dwelling and garage,Approx 30m NE of 41 Moneyhaw Road  Moneymore,"286,103","381,131",Approved,Approved,07/11/2018,Q3,,,16.8,, 
LA09/2018/0958/RM,09/07/2018,Q2,09/07/2018,Mid Ulster,MID ULSTER,Reserved Matters,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Proposed dwelling and domestic garage on an infill site (amended address & plans),Adjacent and immediately East of 57 Coole Road Aughnamullan Dungannon,"288,494","366,871",Approved,Approved,19/09/2018,Q2,,,9.8,, 
