ID,DateReceived,ReceivedQ,DateValid,Authority,LPA19CD,LPA19NM,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
LA01/2022/0589/F,20-May-2022,,20-May-2022,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,NORTH ANTRIM,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Provision of 6 Nr. hardstanding areas with associated access works for static caravans within the approved holiday park.,Causeway Coast Holiday Park   21 Clare Road   Ballycastle,"311,588","441,874",Refused,Refused,03-Jul-2024,Q2,,,105.0,, 
LA04/2022/1114/F,20-May-2022,,30-Jun-2022,Belfast,N13000004,Belfast LPA,BELFAST WEST,Full,Local,Residential,Urban,Urban housing developments, ,"Proposed residential development comprising of 11 no. 2-bed apartments, with communal amenity space, landscaping, bin and bicycle storage, car parking and all associated site works. (Amended Description/Scheme)",Lands to North of No's 1-23 (odd) Heath Lodge Drive   West of No. 2 & 4 Lyndhurst Crescent   and South-East of No's 1-6 Lyndhurst Heights   Belfast.,"330,244","375,067",Pending, ,,,,,,1,12 months and over
LA10/2022/0548/F,20-May-2022,,20-May-2022,Fermanagh and Omagh,N13000007,Fermanagh and Omagh LPA,WEST TYRONE,Full,Local,Residential,Urban,Urban housing developments, ,Proposed 11 No. private dwellings and detached garages (7 detached dwellings and 4 semi-detached dwellings),Land 50m SW of 35 Tirquin Road   Killyclogher   Omagh,"247,705","373,875",Approved,Approved,09-May-2024,Q1,,,97.4,, 
LA01/2022/0602/O,23-May-2022,,25-May-2022,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,EAST ANTRIM,Outline,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Outline Planning Application submission for the proposed replacement of existing caravan park, associated welfare building, 1 1/2 storey dwelling and outbuildings with 2no detached dwellings, private amenity space and associated site works",Lands at 22 Glenville Road  Cushendall,"323,802","428,841",Approved,Approved,19-Jun-2024,Q1,,,102.4,, 
LA04/2022/1076/F,23-May-2022,,23-May-2022,Belfast,N13000004,Belfast LPA,BELFAST NORTH,Full,Local,Residential,Urban,Urban housing developments, ,6 No. dwellings (social housing).,Site of Former Greencastle PSNI Station   804 Shore Road   Newtownabbey   BT36 7DG.,"334,230","379,350",Approved,Approved,11-Jul-2024,Q2,,,106.0,, 
LA06/2022/0548/LBC,23-May-2022,,23-May-2022,Ards and North Down,N13000002,Ards and North Down LPA,NORTH DOWN,Listed Building Consents,Local,Other,Urban, , ,"Alterations of windows from single to double glazed sashes in existing frames to front, rear and side elevations of rear return, chimney stack; minor internal alterations.",28 Warren Road   Donaghadee   BT21 0DT,"358,690","380,457",Withdrawn,Withdrawn,,,18-Jun-2024,Q1,102.6,, 
LA08/2022/0692/O,23-May-2022,,13-Feb-2024,"Armagh, Banbridge and Craigavon",N13000003,"Armagh City, Banbridge and Craigavon LPA",NEWRY AND ARMAGH,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Site for storey and a half dwelling on a farm,Land opposite and 80 metres south-west of 8 Ballyvally Road   Loughgilly   Armagh   BT60 2DH,"300,414","336,918",Approved,Approved,07-Jun-2024,Q1,,,15.6,, 
LA09/2022/0657/O,23-May-2022,,23-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Outline,Local,Residential,Rural: Countryside,New single rural dwellings (countryside), ,Dwelling  domestic garage,40M West Of 62 Ballynargan Road Stewartstown BT71 5NF,"286,898","376,165",Pending, ,,,,,,1,12 months and over
LA01/2022/0585/F,24-May-2022,,24-May-2022,Causeway Coast and Glens,N13000005,Causeway Coast and Glens LPA,NORTH ANTRIM,Full,Local,Residential,Rural: Countryside,Rural other (countryside), ,Change of house type from previous approval D/2011/0259/RM,60m South of 35 Magheraboy Road   Rasharkin,"297,794","414,909",Refused,Refused,23-Dec-2024,Q3,,,128.6,, 
LA06/2022/0524/F,24-May-2022,,24-May-2022,Ards and North Down,N13000002,Ards and North Down LPA,STRANGFORD,Full,Major,Residential,Rural: Countryside,Rural other (countryside), ,"Change of use of land to eco-holiday village to include 5No. glamping pods, 5No. Shepherd huts, reception pod, parking, pathways, landscaping and treatment plant/reed beds. Access via existing approved laneway to Newtownards Road, with retention of section of new laneway.",120m East of No. 84A Newtownards Road with use of laneway access to Newtownards Road positioned 180m NW of Greyabbey community hall   Ballyurnanellan   Greyabbey   BT22 2QJ,"356,938","367,754",Pending, ,,,,,,1,12 months and over
LA07/2022/0841/F,24-May-2022,,26-May-2022,"Newry, Mourne and Down",N13000011,"Newry, Mourne and Down LPA",NEWRY AND ARMAGH,Full,Local,Residential,Urban,Urban housing developments, ,Proposed demolition of existing beauty salon and erection of 4 no. apartments.,No.98 Dominic Street  Newry  BT35 8BW,"308,245","325,823",Approved,Approved,16-Dec-2024,Q3,,,127.2,, 
LA09/2022/0671/F,24-May-2022,,24-May-2022,Mid Ulster,N13000010,Mid Ulster LPA,MID ULSTER,Full,Local,Commercial,Rural: Countryside, , ,"Retrospective application for a children's activity park including battery operated karts on a mini kart car track, indoor play areas  toilets",Lands At 48 Cookstown Road Moneymore,"284,926","382,376",Approved,Approved,12-Sep-2024,Q2,,,114.4,, 
