cell_id,row,col,centroid_lng,centroid_lat,secondary_250m,secondary_500m,secondary_750m,secondary_1000m,primary_1000m,primary_2000m,primary_4000m,secondary_rating_kva_1000m,primary_rating_kva_4000m,nearest_transformer_m,nearest_secondary_m,nearest_primary_m,weighted_capacity_kva,available_capacity_kw_proxy,peak_kw_proxy_2026,headroom_kw_proxy_2026,overload_risk_2026,asset_age_mean,missing_rating_share,data_support_score,confidence,electricity_index,jobs_index,buildings_index,services_index,traffic_index,development_pressure,planning_intensity,transit_access,deprivation_weight
belfast_10_16,10,16,-5.856364,54.653714,0,0,0,0,0,0,3,0,48000.0,2477.8,2483.5,2477.8,15071.145,6244.543,2368.25,3876.293,0.0,,0.0,0.58,medium,0.415,0.088,0.357,0.098,0.236,0.118,0.079,0.18,0.0
belfast_10_17,10,17,-5.842728,54.653714,0,0,0,0,0,1,3,0,48000.0,1951.6,1954.6,1951.6,16820.885,6972.098,2417.05,4555.048,0.0,,0.0,0.58,medium,0.422,0.088,0.372,0.098,0.243,0.141,0.09,0.18,0.0
belfast_10_18,10,18,-5.829091,54.653714,0,0,0,0,0,1,2,0,32000.0,1243.7,1247.3,1243.7,15511.518,6439.452,2458.1,3981.352,0.0,,0.0,0.58,medium,0.429,0.088,0.382,0.098,0.248,0.154,0.097,0.18,0.0
belfast_10_19,10,19,-5.815455,54.653714,0,0,0,2,1,1,2,1000.0,32000.0,909.9,913.3,909.9,16032.322,6664.792,2464.3,4200.492,0.0,,0.0,0.58,medium,0.431,0.088,0.381,0.098,0.249,0.151,0.096,0.18,0.0
belfast_10_20,10,20,-5.801819,54.653714,0,0,0,0,0,1,2,0,32000.0,1280.6,1280.6,1285.2,13347.193,5541.098,2437.2,3103.898,0.0,,0.0,0.58,medium,0.428,0.088,0.37,0.098,0.244,0.134,0.087,0.18,0.0
belfast_10_21,10,21,-5.788182,54.653714,0,0,0,0,0,0,1,0,16000.0,1996.2,1996.2,2004.6,7222.254,2994.989,2391.4,603.589,0.3903,,0.0,0.58,medium,0.422,0.088,0.354,0.098,0.236,0.11,0.075,0.18,0.0
belfast_11_00,11,0,-6.074546,54.666572,0,0,0,0,0,0,0,0,0,4175.4,4176.2,4175.4,0.0,0.0,2438.95,-2438.95,0.9434,,0.0,0.34,low,0.428,0.088,0.372,0.098,0.245,0.135,0.087,0.18,0.0
belfast_11_01,11,1,-6.06091,54.666572,0,0,0,0,0,0,1,0,16000.0,3475.5,3476.7,3475.5,3990.537,1652.736,2393.8,-741.064,0.6347,,0.0,0.34,low,0.422,0.088,0.357,0.098,0.238,0.111,0.075,0.18,0.0
belfast_11_02,11,2,-6.047273,54.666572,0,0,0,0,0,0,1,0,16000.0,2874.7,2876.7,2874.7,5083.161,2106.2,2347.65,-241.45,0.5439,,0.0,0.34,low,0.415,0.088,0.344,0.098,0.231,0.091,0.066,0.18,0.0
belfast_11_03,11,3,-6.033637,54.666572,0,0,0,0,0,0,2,0,32000.0,2327.0,2327.0,2447.5,10497.798,4351.59,2321.2,2030.39,0.1308,,0.0,0.58,medium,0.41,0.088,0.339,0.098,0.228,0.085,0.063,0.18,0.0
belfast_11_04,11,4,-6.020001,54.666572,0,0,0,0,0,0,3,0,48000.0,1732.9,1732.9,2292.8,16429.145,6813.573,2329.6,4483.973,0.0,,0.0,0.58,medium,0.41,0.088,0.345,0.098,0.231,0.095,0.068,0.18,0.0
belfast_11_05,11,5,-6.006364,54.666572,0,0,0,0,0,1,3,0,48000.0,1460.1,1460.1,1582.8,19887.197,8257.573,2369.1,5888.473,0.0,,0.0,0.58,medium,0.415,0.088,0.359,0.098,0.238,0.117,0.079,0.18,0.0
